round, size, pvdup, meanpv, rpsneigh, sonneig, completeness, messages
123, 200, 0, 5.0, 5, 5, 98, 1000
124, 200, 0, 5.0, 5, 5, 98, 1000
125, 200, 0, 5.0, 5, 5, 98, 1000
126, 200, 0, 5.0, 5, 5, 98, 1000
127, 200, 0, 5.0, 5, 5, 98, 1000
128, 200, 0, 5.0, 5, 5, 98, 1010
129, 200, 0, 5.0, 5, 5, 97, 990
130, 200, 0, 5.0, 5, 5, 98, 1000
131, 200, 0, 5.0, 5, 5, 98, 1000
132, 200, 0, 5.0, 5, 5, 98, 1000
133, 200, 0, 5.0, 5, 5, 98, 1000
134, 200, 0, 5.0, 5, 5, 98, 1000
135, 200, 0, 5.0, 5, 5, 98, 1000
136, 200, 0, 5.0, 5, 5, 98, 1000
137, 200, 0, 5.0, 5, 5, 98, 1000
138, 200, 0, 5.0, 5, 5, 98, 1000
139, 200, 0, 5.0, 5, 5, 98, 1000
140, 200, 0, 5.0, 5, 5, 98, 1000
141, 200, 0, 5.0, 5, 5, 98, 1000
142, 200, 0, 5.0, 5, 5, 98, 1000
143, 200, 0, 5.0, 5, 5, 98, 1000
144, 200, 0, 5.0, 5, 5, 98, 1000
145, 200, 0, 5.0, 5, 5, 98, 1010
146, 200, 0, 5.0, 5, 5, 97, 1000
147, 200, 0, 5.0, 5, 5, 97, 990
148, 200, 0, 5.0, 5, 5, 98, 1010
149, 200, 0, 5.0, 5, 5, 97, 990
150, 200, 0, 5.0, 5, 5, 98, 1010
151, 200, 0, 5.0, 5, 5, 97, 990
152, 200, 0, 5.0, 5, 5, 98, 1000
153, 200, 0, 5.0, 5, 5, 98, 1000
154, 200, 0, 5.0, 5, 5, 98, 1000
155, 200, 0, 5.0, 5, 5, 98, 1000
156, 200, 0, 5.0, 5, 5, 98, 1000
157, 200, 0, 5.0, 5, 5, 98, 1000
158, 200, 0, 5.0, 5, 5, 98, 1000
159, 200, 0, 5.0, 5, 5, 98, 1000
160, 200, 0, 5.0, 5, 5, 98, 1000
161, 200, 0, 5.0, 5, 5, 98, 1000
162, 200, 0, 5.0, 5, 5, 98, 1000
163, 200, 0, 5.0, 5, 5, 98, 1000
164, 200, 0, 5.0, 5, 5, 98, 1000
165, 200, 0, 5.0, 5, 5, 98, 1000
166, 200, 0, 5.0, 5, 5, 98, 1000
167, 200, 0, 5.0, 5, 5, 98, 1000
168, 200, 0, 5.0, 5, 5, 98, 1000
169, 200, 0, 5.0, 5, 5, 98, 1000
170, 200, 0, 5.0, 5, 5, 98, 1000
171, 200, 0, 5.0, 5, 5, 98, 1000
172, 200, 0, 5.0, 5, 5, 98, 1000
173, 200, 0, 5.0, 5, 5, 98, 1000
174, 200, 0, 5.0, 5, 5, 98, 1000
175, 200, 0, 5.0, 5, 5, 98, 1010
176, 200, 0, 5.0, 5, 5, 97, 990
177, 200, 0, 5.0, 5, 5, 98, 1000
178, 200, 0, 5.0, 5, 5, 98, 1000
179, 200, 0, 5.0, 5, 5, 98, 1000
180, 200, 0, 5.0, 5, 5, 98, 1000
181, 200, 0, 5.0, 5, 5, 98, 1000
182, 200, 0, 5.0, 5, 5, 98, 1000
183, 200, 0, 5.0, 5, 5, 98, 1000
184, 200, 0, 5.0, 5, 5, 98, 1000
185, 200, 0, 5.0, 5, 5, 98, 1000
186, 200, 0, 5.0, 5, 5, 98, 1000
187, 200, 0, 5.0, 5, 5, 98, 1010
188, 200, 0, 5.0, 5, 5, 97, 990
189, 200, 0, 5.0, 5, 5, 98, 1000
190, 200, 0, 5.0, 5, 5, 98, 1000
191, 200, 0, 5.0, 5, 5, 98, 1010
192, 200, 0, 5.0, 5, 5, 97, 990
193, 200, 0, 5.0, 5, 5, 98, 1000
194, 200, 0, 5.0, 5, 5, 98, 1000
195, 200, 0, 5.0, 5, 5, 98, 1000
196, 200, 0, 5.0, 5, 5, 98, 1010
197, 200, 0, 5.0, 5, 5, 97, 990
198, 200, 0, 5.0, 5, 5, 98, 1000
199, 200, 0, 5.0, 5, 5, 98, 1000
200, 200, 0, 5.0, 5, 5, 98, 1000
201, 200, 0, 5.0, 5, 5, 98, 1000
202, 200, 0, 5.0, 5, 5, 98, 1010
203, 200, 0, 5.0, 5, 5, 97, 1000
204, 200, 0, 5.0, 5, 5, 97, 990
205, 200, 0, 5.0, 5, 5, 98, 1000
206, 200, 0, 5.0, 5, 5, 98, 1000
207, 200, 0, 5.0, 5, 5, 98, 1000
208, 200, 0, 5.0, 5, 5, 98, 1000
209, 200, 0, 5.0, 5, 5, 98, 1000
210, 200, 0, 5.0, 5, 5, 98, 1000
211, 200, 0, 5.0, 5, 5, 98, 1000
212, 200, 0, 5.0, 5, 5, 98, 1000
213, 200, 0, 5.0, 5, 5, 98, 1000
214, 200, 0, 5.0, 5, 5, 98, 1000
215, 200, 0, 5.0, 5, 5, 98, 1000
216, 200, 0, 5.0, 5, 5, 98, 1000
217, 200, 0, 5.0, 5, 5, 98, 1000
218, 200, 0, 5.0, 5, 5, 98, 1000
219, 200, 0, 5.0, 5, 5, 98, 1000
220, 200, 0, 5.0, 5, 5, 98, 1000
221, 200, 0, 5.0, 5, 5, 98, 1010
222, 200, 0, 5.0, 5, 5, 97, 990
223, 200, 0, 5.0, 5, 5, 98, 1000
224, 200, 0, 5.0, 5, 5, 98, 1000
225, 200, 0, 5.0, 5, 5, 98, 1000
226, 200, 0, 5.0, 5, 5, 98, 1000
227, 200, 0, 5.0, 5, 5, 98, 1000
228, 200, 0, 5.0, 5, 5, 98, 1010
229, 200, 0, 5.0, 5, 5, 97, 990
230, 200, 0, 5.0, 5, 5, 98, 1000
231, 200, 0, 5.0, 5, 5, 98, 1010
232, 200, 0, 5.0, 5, 5, 97, 990
233, 200, 0, 5.0, 5, 5, 98, 1000
234, 200, 0, 5.0, 5, 5, 98, 1000
235, 200, 0, 5.0, 5, 5, 98, 1000
236, 200, 0, 5.0, 5, 5, 98, 1000
237, 200, 0, 5.0, 5, 5, 98, 1000
238, 200, 0, 5.0, 5, 5, 98, 1000
239, 200, 0, 5.0, 5, 5, 98, 1010
240, 200, 0, 5.0, 5, 5, 97, 990
241, 200, 0, 5.0, 5, 5, 98, 1000
242, 200, 0, 5.0, 5, 5, 98, 1010
243, 200, 0, 5.0, 5, 5, 97, 990
244, 200, 0, 5.0, 5, 5, 98, 1010
245, 200, 0, 5.0, 5, 5, 97, 990
246, 200, 0, 5.0, 5, 5, 98, 1000
247, 200, 0, 5.0, 5, 5, 98, 1000
248, 200, 0, 5.0, 5, 5, 98, 1000
249, 200, 0, 5.0, 5, 5, 98, 1000
250, 200, 0, 5.0, 5, 5, 98, 1000
251, 200, 0, 5.0, 5, 5, 98, 1000
252, 200, 0, 5.0, 5, 5, 98, 1000
253, 200, 0, 5.0, 5, 5, 98, 1000
254, 200, 0, 5.0, 5, 5, 98, 1000
255, 200, 0, 5.0, 5, 5, 98, 1000
256, 200, 0, 5.0, 5, 5, 98, 1000
257, 200, 0, 5.0, 5, 5, 98, 1000
258, 200, 0, 5.0, 5, 5, 98, 1000
259, 200, 0, 5.0, 5, 5, 98, 1000
260, 200, 0, 5.0, 5, 5, 98, 1000
261, 200, 0, 5.0, 5, 5, 98, 1000
262, 200, 0, 5.0, 5, 5, 98, 1000
263, 200, 0, 5.0, 5, 5, 98, 1010
264, 200, 0, 5.0, 5, 5, 98, 990
265, 200, 0, 5.0, 5, 5, 98, 1000
266, 200, 0, 5.0, 5, 5, 98, 1000
267, 200, 0, 5.0, 5, 5, 98, 1000
268, 200, 0, 5.0, 5, 5, 98, 1000
269, 200, 0, 5.0, 5, 5, 98, 1000
270, 200, 0, 5.0, 5, 5, 98, 1000
271, 200, 0, 5.0, 5, 5, 98, 1000
272, 200, 0, 5.0, 5, 5, 98, 1000
273, 200, 0, 5.0, 5, 5, 98, 1000
274, 200, 0, 5.0, 5, 5, 98, 1000
275, 200, 0, 5.0, 5, 5, 98, 1000
276, 200, 0, 5.0, 5, 5, 98, 1000
277, 200, 0, 5.0, 5, 5, 98, 1000
278, 200, 0, 5.0, 5, 5, 98, 1000
279, 200, 0, 5.0, 5, 5, 98, 1000
280, 200, 0, 5.0, 5, 5, 98, 1000
281, 200, 0, 5.0, 5, 5, 98, 1000
282, 200, 0, 5.0, 5, 5, 98, 1010
283, 200, 0, 5.0, 5, 5, 97, 990
284, 200, 0, 5.0, 5, 5, 98, 1000
285, 200, 0, 5.0, 5, 5, 98, 1000
286, 200, 0, 5.0, 5, 5, 98, 1000
287, 200, 0, 5.0, 5, 5, 98, 1000
288, 200, 0, 5.0, 5, 5, 98, 1010
289, 200, 0, 5.0, 5, 5, 97, 990
290, 200, 0, 5.0, 5, 5, 98, 1000
291, 200, 0, 5.0, 5, 5, 98, 1000
292, 200, 0, 5.0, 5, 5, 98, 1000
293, 200, 0, 5.0, 5, 5, 98, 1000
294, 200, 0, 5.0, 5, 5, 98, 1000
295, 200, 0, 5.0, 5, 5, 98, 1000
296, 200, 0, 5.0, 5, 5, 98, 1030
297, 200, 0, 5.0, 5, 5, 95, 970
298, 200, 0, 5.0, 5, 5, 98, 1000
299, 200, 0, 5.0, 5, 5, 98, 1000
300, 200, 0, 5.0, 5, 5, 98, 1000
301, 200, 0, 5.0, 5, 5, 98, 1010
302, 200, 0, 5.0, 5, 5, 97, 990
303, 200, 0, 5.0, 5, 5, 98, 1000
304, 200, 0, 5.0, 5, 5, 98, 1000
305, 200, 0, 5.0, 5, 5, 98, 1010
306, 200, 0, 5.0, 5, 5, 97, 990
307, 200, 0, 5.0, 5, 5, 98, 1010
308, 200, 0, 5.0, 5, 5, 97, 990
309, 200, 0, 5.0, 5, 5, 98, 1000
310, 200, 0, 5.0, 5, 5, 98, 1000
311, 200, 0, 5.0, 5, 5, 98, 1000
312, 200, 0, 5.0, 5, 5, 98, 1000
313, 200, 0, 5.0, 5, 5, 98, 1000
314, 200, 0, 5.0, 5, 5, 98, 1000
